Building,Utility,Unit,Meter no.,Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00
Building 3,Gas,KWh,Meter 1,20/04/2013,127.633,46.695,43.582,24.904,59.147,28.017,40.469,28.017,37.356,34.243,31.13,37.356,28.017,37.356,37.356,34.243,34.243,28.017,34.243,28.017,9.339,24.904,37.356,28.017,34.243,28.017,15.565,21.791,31.13,37.356,24.904,9.339,0,9.339,3.113,71.599,37.356,0,9.339,0,9.339,65.373,46.695,34.243,31.13,37.356,24.904,37.356
Building 3,Gas,KWh,Meter 1,21/04/2013,18.678,52.921,34.243,3.113,34.243,59.147,37.356,24.904,9.339,68.486,28.017,37.356,31.13,37.356,34.243,28.017,34.243,3.113,37.356,28.017,34.243,28.017,34.243,6.226,28.017,37.356,24.904,37.356,28.017,18.678,18.678,34.243,34.243,28.017,34.243,21.791,43.582,31.13,34.243,31.13,15.565,24.904,28.017,34.243,34.243,34.243,34.243,31.13
Building 3,Gas,KWh,Meter 1,22/04/2013,34.243,31.13,34.243,37.356,28.017,37.356,34.243,34.243,37.356,62.26,146.311,124.52,96.503,99.616,96.503,40.469,71.599,56.034,28.017,37.356,34.243,28.017,18.678,15.565,31.13,28.017,28.017,43.582,21.791,28.017,21.791,6.226,0,37.356,34.243,0,0,0,3.113,3.113,0,0,0,0,0,9.339,0,0
Building 3,Gas,KWh,Meter 1,23/04/2013,0,0,0,6.226,0,0,0,0,0,6.226,65.373,217.91,121.407,90.277,140.085,84.051,74.712,68.486,12.452,56.034,31.13,49.808,40.469,0,28.017,28.017,0,37.356,28.017,28.017,0,28.017,28.017,34.243,0,31.13,0,0,0,0,6.226,0,0,0,0,0,6.226,0
Building 3,Gas,KWh,Meter 1,24/04/2013,0,0,0,0,6.226,3.113,0,0,0,0,6.226,0,158.763,171.215,136.972,71.599,74.712,52.921,49.808,24.904,31.13,28.017,62.26,34.243,28.017,18.678,9.339,31.13,34.243,24.904,28.017,28.017,0,31.13,43.582,34.243,28.017,0,0,0,9.339,0,0,0,0,0,0,6.226
Building 3,Gas,KWh,Meter 1,25/04/2013,0,0,0,0,0,6.226,0,0,0,0,0,0,43.582,230.362,152.537,68.486,80.938,34.243,71.599,28.017,28.017,31.13,28.017,28.017,34.243,31.13,31.13,31.13,28.017,31.13,31.13,24.904,3.113,28.017,28.017,0,37.356,0,0,0,0,0,0,6.226,0,0,0,0
Building 3,Gas,KWh,Meter 1,26/04/2013,0,6.226,3.113,0,0,0,0,0,6.226,6.226,171.215,102.729,127.633,143.198,124.52,65.373,99.616,49.808,77.825,62.26,52.921,34.243,28.017,28.017,31.13,28.017,43.582,21.791,28.017,28.017,31.13,31.13,34.243,3.113,15.565,0,0,0,0,6.226,0,0,0,0,0,3.113,6.226,105.842
Building 3,Gas,KWh,Meter 1,27/04/2013,68.486,31.13,28.017,31.13,65.373,28.017,31.13,28.017,31.13,28.017,31.13,37.356,28.017,31.13,28.017,31.13,28.017,28.017,34.243,28.017,28.017,31.13,31.13,28.017,28.017,31.13,34.243,31.13,24.904,28.017,28.017,28.017,28.017,34.243,28.017,0,59.147,28.017,28.017,0,28.017,34.243,31.13,28.017,28.017,28.017,31.13,28.017
Building 3,Gas,KWh,Meter 1,28/04/2013,34.243,31.13,28.017,37.356,43.582,34.243,28.017,37.356,28.017,28.017,31.13,28.017,28.017,28.017,37.356,28.017,28.017,24.904,28.017,28.017,28.017,37.356,24.904,28.017,0,28.017,28.017,24.904,34.243,28.017,15.565,12.452,28.017,28.017,24.904,37.356,24.904,0,59.147,28.017,15.565,12.452,34.243,28.017,34.243,28.017,28.017,24.904
Building 3,Gas,KWh,Meter 1,29/04/2013,31.13,34.243,31.13,28.017,31.13,28.017,65.373,34.243,34.243,65.373,183.667,115.181,108.955,99.616,80.938,56.034,80.938,80.938,71.599,43.582,71.599,31.13,56.034,40.469,34.243,56.034,37.356,28.017,31.13,28.017,24.904,0,37.356,37.356,28.017,34.243,24.904,0,0,3.113,3.113,0,0,0,0,0,9.339,0
